City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kieta,-6.2167,155.6333,26.14,83,95,1.9,PG,1675177638
84,nantucket,41.2835,-70.0995,2.06,92,100,6.69,US,1675177369
85,butaritari,3.0707,172.7902,26.8,78,78,8.56,KI,1675177640
86,ballina,-28.8667,153.5667,22.66,99,62,1.9,AU,1675177640
87,ushuaia,-54.8,-68.3,13.79,87,98,1.62,AR,1675177626
88,hobart,-42.8794,147.3294,16.92,87,100,0.51,AU,1675177641
89,cidreira,-30.1811,-50.2056,29.14,57,11,3.71,BR,1675177558
90,rio gallegos,-51.6226,-69.2181,17.03,29,0,7.72,AR,1675177374
91,constitucion,-35.3333,-72.4167,21.13,54,91,4.95,CL,1675177642
92,harper,4.375,-7.7169,29.32,67,36,2.63,LR,1675177643
93,pangnirtung,66.1451,-65.7125,-36.55,87,10,3.56,CA,1675177643
94,cape town,-33.9258,18.4232,30.23,40,0,6.17,ZA,1675177363
95,zhuhai,22.2769,113.5678,18.88,77,75,1.54,CN,1675177534
96,jamestown,42.097,-79.2353,-7.23,77,100,4.12,US,1675177367
97,komsomolskiy,40.4272,71.7189,0.4,69,98,2.06,UZ,1675177645
98,qaanaaq,77.484,-69.3632,-20.77,41,69,3.31,GL,1675177646
99,flin flon,54.7682,-101.865,-36.8,100,25,1.52,CA,1675177646
100,fortuna,40.5982,-124.1573,4.19,86,0,5.14,US,1675177647
101,herat,34.5,62.0,10.67,45,100,9.81,AF,1675177648
102,port hedland,-20.3167,118.5667,30.03,79,72,5.14,AU,1675177648
103,mahebourg,-20.4081,57.7,26.81,80,100,3.24,MU,1675177649
104,te anau,-45.4167,167.7167,15.7,92,100,0.26,NZ,1675177437
105,kaitangata,-46.2817,169.8464,16.02,98,100,0.69,NZ,1675177650
106,teruel,40.6667,-0.6667,5.73,42,0,3.14,ES,1675177651
107,port elizabeth,-33.918,25.5701,25.16,86,20,10.29,ZA,1675177651
108,honiara,-9.4333,159.95,25.92,75,100,0.31,SB,1675177652
109,marsaxlokk,35.8419,14.5431,14.34,67,20,8.75,MT,1675177652
110,carnarvon,-24.8667,113.6333,24.74,81,0,8.15,AU,1675177653
111,tiksi,71.6872,128.8694,-23.14,100,100,5.2,RU,1675177654
112,la ronge,55.1001,-105.2842,-33.43,100,89,1.53,CA,1675177655
113,sao gotardo,-19.3111,-46.0489,25.9,64,45,3.51,BR,1675177409
114,port macquarie,-31.4333,152.9167,19.94,89,82,2.95,AU,1675177655
115,nyurba,63.2842,118.3319,-42.54,100,72,1.6,RU,1675177120
116,bereda,43.2686,-7.5406,10.64,78,15,2.51,ES,1675177656
117,isla mujeres,21.2311,-86.731,27.03,72,1,5.86,MX,1675177657
118,margate,51.3813,1.3862,12.05,72,80,0.89,GB,1675177657
119,kruisfontein,-34.0033,24.7314,26.4,60,3,8.77,ZA,1675177658
120,liverpool,53.4106,-2.9779,9.78,72,20,9.77,GB,1675177525
121,iberia,29.9502,-91.7507,13.87,94,100,4.12,US,1675177658
122,saint anthony,45.0205,-93.218,-18.52,75,0,4.63,US,1675177659
123,arraial do cabo,-22.9661,-42.0278,29.92,58,0,8.23,BR,1675177659
124,samarai,-10.6167,150.6667,27.32,82,52,3.17,PG,1675177660
125,faya,18.3851,42.4509,16.29,56,25,3.25,SA,1675177660
126,dingle,10.9995,122.6711,23.64,94,75,4.05,PH,1675177661
127,madimba,-10.4,40.3333,28.62,70,12,3.57,TZ,1675177661
128,camabatela,-8.1881,15.375,22.56,77,92,0.92,AO,1675177662
129,adrar,20.5022,-10.0711,24.12,8,10,3.25,MR,1675177662
130,kohlu,29.8962,69.252,10.87,31,63,2.76,PK,1675177663
131,busselton,-33.65,115.3333,16.26,70,0,8.83,AU,1675177120
132,ryotsu,38.0833,138.4333,4.37,88,100,8.08,JP,1675177664
133,vuyyuru,16.3667,80.85,26.07,69,40,1.54,IN,1675177664
134,aketi,2.7388,23.7833,36.71,21,62,1.78,CD,1675177665
135,kropotkin,45.4375,40.5756,6.8,64,100,0.87,RU,1675177500
136,moosburg,48.4667,11.9333,4.64,68,0,8.75,DE,1675177665
137,cosala,24.4125,-106.6908,19.26,42,73,1.54,MX,1675177666
138,alta floresta,-9.8756,-56.0861,25.06,89,86,2.03,BR,1675177666
139,saint-pierre,-21.3393,55.4781,28.82,74,0,6.69,RE,1675177667
140,bambous virieux,-20.3428,57.7575,26.79,79,100,3.21,MU,1675177667
141,bilma,18.6853,12.9164,26.12,11,100,6.2,NE,1675177668
142,sompeta,18.9333,84.6,24.03,56,95,0.57,IN,1675177668
143,bethel,41.3712,-73.414,1.78,71,99,2.68,US,1675177669
144,lapua,62.9693,23.0088,-4.62,97,8,1.25,FI,1675177669
145,hovd,48.0056,91.6419,-17.81,82,7,1.42,MN,1675177670
146,khorramshahr,30.4397,48.1664,17.97,68,100,9.56,IR,1675177671
147,kailua,21.4022,-157.7394,21.91,94,98,0.89,US,1675177672
148,huarmey,-10.0681,-78.1522,23.33,75,99,2.61,PE,1675177672
149,arman,59.7,150.1667,-13.32,93,100,3.36,RU,1675177673
150,ribeira grande,38.5167,-28.7,17.22,55,20,4.92,PT,1675177673
151,hofn,64.2539,-15.2082,1.18,70,100,11.15,IS,1675177119
152,la romana,18.4273,-68.9728,26.2,61,40,6.17,DO,1675177674
153,richards bay,-28.783,32.0377,26.05,81,54,6.54,ZA,1675177675
154,san patricio,28.017,-97.5169,4.35,85,100,5.66,US,1675177675
155,limoges,45.75,1.3333,6.31,100,100,1.54,FR,1675177676
156,codrington,-38.2667,141.9667,12.82,80,18,2.82,AU,1675177676
157,clyde river,70.4692,-68.5914,-30.02,98,100,1.56,CA,1675177676
158,nisia floresta,-6.0911,-35.2086,31.45,52,98,6.19,BR,1675177677
159,sechura,-5.5569,-80.8222,25.78,63,96,0.82,PE,1675177677
160,saldanha,-33.0117,17.9442,20.18,70,38,6.38,ZA,1675177678
161,nemuro,43.3236,145.575,-6.39,72,95,2.43,JP,1675177679
162,chuy,-33.6971,-53.4616,28.81,53,4,4.02,UY,1675177679
163,narsaq,60.9167,-46.05,-5.88,91,100,2.03,GL,1675177680
164,edd,13.9297,41.6925,29.04,51,11,11.9,ER,1675177681
165,farkhor,37.4922,69.4036,8.22,74,100,2.96,TJ,1675177681
166,atuona,-9.8,-139.0333,26.12,78,100,11.41,PF,1675177682
167,naze,28.3667,129.4833,12.77,62,12,2.18,JP,1675177682
168,castro,-24.7911,-50.0119,21.75,80,100,3.53,BR,1675177683
169,geraldton,-28.7667,114.6,23.23,78,0,6.69,AU,1675177683
170,berlevag,70.8578,29.0864,0.0,93,75,2.06,NO,1675177685
171,hervey bay,-25.2986,152.8535,26.1,84,79,9.07,AU,1675177685
172,kavos,38.8268,22.8322,9.52,62,100,3.13,GR,1675177686
173,bonfim,3.0833,-59.95,31.28,40,17,3.68,BR,1675177687
174,cabo san lucas,22.8909,-109.9124,19.73,69,75,3.6,MX,1675177466
175,cumberland,35.0502,-78.8664,12.54,97,100,1.54,US,1675177687
176,comodoro rivadavia,-45.8667,-67.5,21.37,36,0,6.66,AR,1675177688
